22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
14,,,1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0005,0.0005,1,27.4,3.888917487,24.30573429,26.78170271,
15,,,1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,A,1.0004,0.0004,1,25.5,3.618260226,22.61412641,24.61245901,24.61245901
16,,,1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,B,1.0004,0.0004,1,25.5,3.618260226,22.61412641,24.61245901,
17,,,1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,A,1.0005,0.0005,1,26.9,3.817691892,23.86057433,25.17714256,25.17714256
18,,Alexander- Alejandra,1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,B,1.0005,0.0005,1,26.9,3.817691892,23.86057433,25.17714256,
19,,Alexander- Alejandra,1,F24 3425,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0004,1,22.8,3.233642013,20.21026258,22.01184157,22.01184157
20,,Alexander- Alejandra,1,F24 3425,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0004,1,22.8,3.233642013,20.21026258,22.01184157,
21,,Alexander- Alejandra,1,F24 1047,LMF,Albizzia,saman,Albizzia saman,A,1.0008,0.0003,1.0005,30.8,4.22,26.38,27.59664604,27.50772584
22,,Alexander- Alejandra,1,F24 1047,LMF,Albizzia,saman,Albizzia saman,B,1.0009,0.0004,1.0005,30.6,4.19,26.21,27.41880564,
23,,Alexander- Alejandra,1,F24 1070,LMF,Gliricidia ,sepium,Gliricidia sepium,A,1.0003,0,1.0003,21.5,2.95,18.42,19.36781668,19.36781668
24,,Alexander- Alejandra,1,F24 1070,LMF,Gliricidia ,sepium,Gliricidia sepium,B,1.0006,0,1.0006,21.5,2.95,18.42,19.36781668,
25,,Alexander- Alejandra,1,F24 1075,LMF,Leucaena, diversifolia,Leucaena diversifolia,A,1.0004,0,1.0004,29.3,4.02,25.1,26.24913766,26.34325807
26,,Alexander- Alejandra,1,F24 1075,LMF,Leucaena, diversifolia,Leucaena diversifolia,B,1.0003,0,1.0003,29.5,4.04,25.28,26.43737849,
27,,Alexander- Alejandra,1,F24 1084,LMF,Brachiaria ,decumbens,Brachiaria decumbens,A,1.0002,0,1.0002,7.2,0.99,6.17,6.473549068,6.473549068
28,,Alexander- Alejandra,1,F24 1084,LMF,Brachiaria ,decumbens,Brachiaria decumbens,B,1.0004,0,1.0004,7.2,0.99,6.17,6.473549068,
29,,Alexander- Alejandra,1,F24 1095,LMF,Setaria ,sphacelata,Setaria sphacelata,A,1.0002,0.0002,1,21.1,2.89,18.08,18.94965969,18.94965969
